02/07/2023 16:52:127, alarmId: 15, tagValue: 15.322725, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:52:127, alarmId: 22, tagValue: 15.322725, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:52:149, alarmId: 16, tagValue: 15.322725, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:52:151, alarmId: 17, tagValue: 15.322725, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:52:511, alarmId: 22, tagValue: 15.322725, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:52:510, alarmId: 15, tagValue: 15.322725, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:52:515, alarmId: 16, tagValue: 15.322725, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:52:517, alarmId: 17, tagValue: 15.322725, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:52:865, alarmId: 15, tagValue: 15.322725, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:52:904, alarmId: 22, tagValue: 15.322725, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:52:903, alarmId: 16, tagValue: 15.322725, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:52:908, alarmId: 17, tagValue: 15.322725, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:53:266, alarmId: 22, tagValue: 14.32098, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:53:286, alarmId: 15, tagValue: 14.32098, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:53:290, alarmId: 16, tagValue: 14.32098, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:53:292, alarmId: 17, tagValue: 14.32098, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:53:659, alarmId: 22, tagValue: 14.32098, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:53:660, alarmId: 15, tagValue: 14.32098, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:53:663, alarmId: 16, tagValue: 14.32098, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:53:665, alarmId: 17, tagValue: 14.32098, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:54:021, alarmId: 15, tagValue: 13.447176, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:54:025, alarmId: 22, tagValue: 13.447176, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:54:025, alarmId: 16, tagValue: 13.447176, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:54:028, alarmId: 17, tagValue: 13.447176, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:54:424, alarmId: 22, tagValue: 13.447176, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:54:426, alarmId: 15, tagValue: 13.447176, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:54:429, alarmId: 16, tagValue: 13.447176, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:54:431, alarmId: 17, tagValue: 13.447176, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:54:785, alarmId: 15, tagValue: 13.447176, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:54:786, alarmId: 22, tagValue: 13.447176, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:54:789, alarmId: 16, tagValue: 13.447176, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:54:791, alarmId: 17, tagValue: 13.447176, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:55:142, alarmId: 22, tagValue: 12.70371, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:55:143, alarmId: 15, tagValue: 12.70371, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:55:146, alarmId: 16, tagValue: 12.70371, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:55:148, alarmId: 17, tagValue: 12.70371, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:55:508, alarmId: 22, tagValue: 12.70371, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:55:510, alarmId: 15, tagValue: 12.70371, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:55:512, alarmId: 16, tagValue: 12.70371, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:55:514, alarmId: 17, tagValue: 12.70371, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:55:878, alarmId: 15, tagValue: 12.70371, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:55:878, alarmId: 22, tagValue: 12.70371, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:55:881, alarmId: 16, tagValue: 12.70371, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:55:883, alarmId: 17, tagValue: 12.70371, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:56:054, alarmId: 23, tagValue: 71.395584, alarmType: HIGH, threshold: 11, priority: 1
02/07/2023 16:56:054, alarmId: 12, tagValue: 33.85224, alarmType: LOW, threshold: 44, priority: 1
02/07/2023 16:56:236, alarmId: 22, tagValue: 12.092619, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:56:238, alarmId: 15, tagValue: 12.092619, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:56:240, alarmId: 16, tagValue: 12.092619, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:56:242, alarmId: 17, tagValue: 12.092619, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:56:624, alarmId: 15, tagValue: 12.092619, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:56:625, alarmId: 22, tagValue: 12.092619, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:56:627, alarmId: 16, tagValue: 12.092619, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:56:629, alarmId: 17, tagValue: 12.092619, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:56:982, alarmId: 15, tagValue: 12.092619, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:56:983, alarmId: 22, tagValue: 12.092619, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:56:986, alarmId: 16, tagValue: 12.092619, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:56:987, alarmId: 17, tagValue: 12.092619, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:57:341, alarmId: 15, tagValue: 11.6155815, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:57:342, alarmId: 22, tagValue: 11.6155815, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:57:344, alarmId: 16, tagValue: 11.6155815, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:57:346, alarmId: 17, tagValue: 11.6155815, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:57:689, alarmId: 15, tagValue: 11.6155815, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:57:692, alarmId: 16, tagValue: 11.6155815, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:57:696, alarmId: 22, tagValue: 11.6155815, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:57:695, alarmId: 17, tagValue: 11.6155815, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:58:048, alarmId: 15, tagValue: 11.273904, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:58:051, alarmId: 22, tagValue: 11.273904, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:58:052, alarmId: 16, tagValue: 11.273904, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:58:054, alarmId: 17, tagValue: 11.273904, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:55:805, alarmId: 22, tagValue: 12.70371, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:55:805, alarmId: 15, tagValue: 12.70371, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:55:826, alarmId: 16, tagValue: 12.70371, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:55:829, alarmId: 17, tagValue: 12.70371, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:56:181, alarmId: 15, tagValue: 12.092619, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:56:184, alarmId: 16, tagValue: 12.092619, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:56:185, alarmId: 22, tagValue: 12.092619, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:56:188, alarmId: 17, tagValue: 12.092619, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:56:529, alarmId: 15, tagValue: 12.092619, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:56:531, alarmId: 16, tagValue: 12.092619, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:56:534, alarmId: 17, tagValue: 12.092619, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:56:539, alarmId: 22, tagValue: 12.092619, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:56:890, alarmId: 15, tagValue: 12.092619, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:56:893, alarmId: 22, tagValue: 12.092619, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:56:893, alarmId: 16, tagValue: 12.092619, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:56:896, alarmId: 17, tagValue: 12.092619, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:57:248, alarmId: 22, tagValue: 11.6155815, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:57:249, alarmId: 15, tagValue: 11.6155815, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:57:287, alarmId: 16, tagValue: 11.6155815, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:57:290, alarmId: 17, tagValue: 11.6155815, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:57:633, alarmId: 15, tagValue: 11.6155815, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:57:636, alarmId: 16, tagValue: 11.6155815, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:57:637, alarmId: 22, tagValue: 11.6155815, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:57:640, alarmId: 17, tagValue: 11.6155815, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:58:011, alarmId: 15, tagValue: 11.6155815, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:58:014, alarmId: 16, tagValue: 11.6155815, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:58:016, alarmId: 22, tagValue: 11.6155815, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:58:019, alarmId: 17, tagValue: 11.6155815, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:58:364, alarmId: 15, tagValue: 11.273904, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:58:372, alarmId: 22, tagValue: 11.273904, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:58:376, alarmId: 16, tagValue: 11.273904, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:58:413, alarmId: 17, tagValue: 11.273904, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:58:731, alarmId: 22, tagValue: 11.273904, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:58:798, alarmId: 15, tagValue: 11.273904, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:58:801, alarmId: 16, tagValue: 11.273904, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:58:803, alarmId: 17, tagValue: 11.273904, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:59:090, alarmId: 22, tagValue: 11.068524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:59:152, alarmId: 15, tagValue: 11.068524, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:59:154, alarmId: 16, tagValue: 11.068524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:59:156, alarmId: 17, tagValue: 11.068524, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:59:447, alarmId: 22, tagValue: 11.068524, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:59:506, alarmId: 15, tagValue: 11.068524, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:59:508, alarmId: 16, tagValue: 11.068524, alarmType: LOW, threshold: 444, priority: 1
